BT24-001	PASS	3	current
BT24-002	PASS	4	current
BT24-003	PASS	3	current
BT24-004	PASS	2	current
BT24-005	PASS	3	current
BT24-006	PASS	2	current
BT24-007	PASS	3	current
BT24-008	PASS	5	current
BT24-009	PASS	5	current
BT24-010	PASS	4	current
BT24-011	PASS	4	current
BT24-012	PASS	6	current
BT24-013	PASS	8	current
BT24-014	PASS	8	current
BT24-015	PASS	7	current
BT24-016	PASS	8	current
BT24-017	PASS	6	current
BT24-018	PASS	8	current
BT24-019	PASS	5	current
BT24-020	PASS	6	current
BT24-021	PASS	7	current
BT24-022	PASS	6	current
BT24-023	PASS	10	current
BT24-024	PASS	7	current
BT24-025	PASS	7	current
BT24-026	PASS	6	current
BT24-027	PASS	9	current
BT24-028	PASS	10	current
BT24-029	PASS	8	current
BT24-030	PASS	10	current
BT24-031	PASS	7	current
BT24-032	PASS	5	current
BT24-033	PASS	4	current
BT24-034	PASS	10	current
BT24-035	PASS	4	current
BT24-036	PASS	6	current
BT24-037	PASS	8	current
BT24-038	PASS	7	current
BT24-039	PASS	7	current
BT24-040	PASS	10	current
BT24-041	PASS	10	current
BT24-042	PASS	8	current
BT24-043	PASS	4	current
BT24-044	PASS	5	current
BT24-045	PASS	8	current
BT24-046	PASS	7	current
BT24-047	PASS	5	current
BT24-048	PASS	7	current
BT24-049	PASS	9	current
BT24-050	PASS	8	current
BT24-051	PASS	7	current
BT24-052	PASS	9	current
BT24-053	PASS	6	current
BT24-054	PASS	9	current
BT24-055	PASS	7	current
BT24-056	PASS	7	current
BT24-057	PASS	9	current
BT24-058	PASS	6	current
BT24-059	PASS	8	current
BT24-060	PASS	9	current
BT24-061	PASS	5	current
BT24-062	PASS	10	current
BT24-063	PASS	5	current
BT24-064	PASS	6	current
BT24-065	PASS	7	current
BT24-066	PASS	5	current
BT24-067	PASS	7	current
BT24-068	PASS	4	current
BT24-069	PASS	5	current
BT24-070	PASS	5	current
BT24-071	PASS	16	current
BT24-072	PASS	9	current
BT24-073	PASS	7	current
BT24-074	PASS	13	current
BT24-075	PASS	10	current
BT24-076	PASS	9	current
BT24-077	PASS	10	current
BT24-078	PASS	9	current
BT24-079	PASS	8	current
BT24-080	PASS	12	current
BT24-081	PASS	8	current
BT24-082	PASS	7	current
BT24-083	PASS	6	current
BT24-084	PASS	9	current
BT24-085	PASS	7	current
BT24-086	PASS	8	current
BT24-087	PASS	7	current
BT24-088	PASS	8	current
BT24-089	PASS	7	current
BT24-090	PASS	5	current
BT24-091	PASS	6	current
BT24-092	PASS	4	current
BT24-093	PASS	8	current
BT24-094	PASS	5	current
BT24-095	PASS	7	current
BT24-096	PASS	5	current
BT24-097	PASS	8	current
BT24-098	PASS	5	current
BT24-099	PASS	6	current
BT24-100	PASS	3	current
BT24-101	PASS	6	current
BT24-102	PASS	10	current
